election,county,registered_voters,total_votes_cast,absentee_by_mail_voters,early_voters,per_voter_turnout,per_early_voters,per_early_absentee_voters
2004-11-02,Montgomery,77367,49205,2744,24663,0.6359946747321209,0.5012295498424957,0.5569962402194899
2004-11-02,Moore,4116,2784,78,1314,0.6763848396501457,0.47198275862068967,0.5
2004-11-02,Morgan,10315,7432,159,2288,0.7205041202132816,0.3078579117330463,0.3292518837459634
2004-11-02,Obion,21842,13601,229,6220,0.6226993865030674,0.4573193147562679,0.4741563120358797
2004-11-02,Overton,16138,8572,152,3128,0.531168670219358,0.36490900606626225,0.3826411572561829
2004-11-02,Perry,5091,3205,79,1265,0.6295423296012571,0.39469578783151327,0.41934477379095164
2004-11-02,Pickett,4200,2695,91,961,0.6416666666666667,0.35658627087198513,0.3903525046382189
2004-11-02,Polk,12078,6859,129,1939,0.5678920351051499,0.2826942703017933,0.30150167662924626
2004-11-02,Putnam,39360,26703,499,12172,0.6784298780487805,0.4558289330786803,0.47451597198816614
2004-11-02,Rhea,24153,11125,280,4147,0.4606053078292552,0.3727640449438202,0.39793258426966294
2004-11-02,Roane,34395,23673,723,10321,0.688268643698212,0.435981920331179,0.4665230431293034
2004-11-02,Robertson,34401,25441,456,11931,0.7395424551611872,0.46896741480287724,0.4868912385519437
2004-11-02,Rutherford,120211,84615,1524,35637,0.7038873314422142,0.42116645984754475,0.4391774508065946
2004-11-02,Scott,12913,7791,175,3861,0.6033454658096492,0.4955718136311128,0.518033628545758
2004-11-02,Sequatchie,7769,5065,70,2014,0.6519500579225126,0.39763079960513326,0.4114511352418559
2004-11-02,Sevier,48238,31109,548,12619,0.6449065052448277,0.40563823973769647,0.42325372078819634
2004-11-02,Shelby,645697,379102,6364,159894,0.5871205844227246,0.4217703942474585,0.43855743309188555
2004-11-02,Smith,12843,7869,237,4556,0.6127073113758468,0.5789808107764646,0.6090989960604906
2004-11-02,Stewart,7875,5609,206,2753,0.7122539682539683,0.4908183276876449,0.5275450169370655
2004-11-02,Sullivan,89052,63391,1504,30605,0.7118425189776759,0.4827972425107665,0.5065230079979808
2004-11-02,Sumner,78944,62553,1241,20992,0.7923718078638022,0.3355874218662574,0.35542659824468853
2004-11-02,Tipton,32630,22176,351,8537,0.6796199816120135,0.3849657287157287,0.4007936507936508
2004-11-02,Trousdale,4937,3262,64,2062,0.660725136722706,0.6321275291232373,0.6517473942366646
2004-11-02,Unicoi,11609,7588,186,3401,0.6536308036867947,0.44820769636267793,0.47272008434370055
2004-11-02,Union,11279,6920,255,1473,0.6135295682241333,0.2128612716763006,0.24971098265895952
